Image_Url, Item_Name, Item_Price, Average_Rating (Max Score is 5), Number_Of_Ratings 
https://m.media-amazon.com/images/I/51NZ4ICOshL._AC_UL320_.jpg,Maison de Grand EspritL’Etre Magique Cotes de Provence 2016 French AOC Rose Goes well with Spicy Food Rose Wine| 750 ml,S$32.00,1.0 ,1
https://m.media-amazon.com/images/I/71gB05FiUHL._AC_UL320_.jpg,Wilton 601-5577 Set of 8 Icing Colors Christmas Red,S$19.60,4.7 ,5'089
https://m.media-amazon.com/images/I/81gy80--ThL._AC_UL320_.jpg,Now Foods Raw Pumpkin Seeds| Unsalted| 454g,,,
https://m.media-amazon.com/images/I/61jI1t3Mp7L._AC_UL320_.jpg,Wilton 609-1192 Black Food Writer,S$7.20,4.2 ,572
https://m.media-amazon.com/images/I/61UchBvdcBL._AC_UL320_.jpg,Now Foods Confectioner's Erythritol 454 g Organic Powder,S$16.90,4.5 ,4
https://m.media-amazon.com/images/I/71Tfwl2b5tL._AC_UL320_.jpg,Shermay's Singapore Fine Food Cilicuka Very Hot| 240ml,S$11.00,5.0 ,3
https://m.media-amazon.com/images/I/71FhCQRIbvL._AC_UL320_.jpg,Shermay's Singapore Fine Food Keropok Pumpkin Lentil 150g,S$15.00,5.0 ,3
https://m.media-amazon.com/images/I/319j7o+ZFgL._AC_UL320_.jpg,Maison de Grand Esprit | La Miraculeuse Bordeaux 2018 | Red Wine| 750ml,S$29.50,5.0 ,2
https://m.media-amazon.com/images/I/81KvC0Ks0NL._AC_UL320_.jpg,Augason Farms Lunch and Dinner Variety Pail Emergency Food Supply 4-Gallon Pail,S$138.31,4.7 ,5'935
https://m.media-amazon.com/images/I/917m+heMj5L._AC_UL320_.jpg,Food: What the Heck Should I Cook?: More than 100 delicious recipes--pegan| vegan| paleo| gluten-free| dairy-free| and more--for lifelong health,S$45.53,4.5 ,1'715
https://m.media-amazon.com/images/I/A1N2FxTSQFL._AC_UL320_.jpg,Love Real Food: More Than 100 Feel-Good Vegetarian Favorites to Delight the Senses and Nourish the Body: A Cookbook,S$36.93,4.7 ,3'871
https://m.media-amazon.com/images/I/81CSV-DUWeL._AC_UL320_.jpg,Keto Junk Food: 100 Low-Carb Recipes for the Foods You Crave―Minus the Ingredients You Don't!,S$20.25,4.0 ,19
https://m.media-amazon.com/images/I/81oMSfJ2uXL._AC_UL320_.jpg,Augason Farms Whole Egg Product 33 oz #10 Can,S$55.21,4.7 ,5'816
https://m.media-amazon.com/images/I/71VWRfkRDNL._AC_UL320_.jpg,Now Foods Xanthan Gum| 170g,,,
https://m.media-amazon.com/images/I/619pqVv6nCL._AC_UL320_.jpg,INSTINCT Limited Ingredient Diet Lamb Dry Dog Food| 4 lb. Bag,S$50.11,4.7 ,1'294
https://m.media-amazon.com/images/I/71JjPEAS9JL._AC_UL320_.jpg,Wellness CORE Natural Grain Free Dry Dog Food| Wild Game Duck| Turkey| Boar & Rabbit| 4-Pound Bag,S$37.22,4.6 ,187
https://m.media-amazon.com/images/I/813xyAxCx4L._AC_UL320_.jpg,Wellness CORE Indoor Salmon & Herring Dry Cat Food 11lb,S$83.16,4.2 ,209
https://m.media-amazon.com/images/I/714-pkLVdqL._AC_UL320_.jpg,(2.5kg) Ziwi Peak Air-Dried Dog Food for All Life Stages (Venison),S$262.17,5.0 ,1
https://m.media-amazon.com/images/I/815TMrP1z-L._AC_UL320_.jpg,NutraGold NGH2374 Grain Free Turkey & Sweet Potato Dog| 2.25kg,,,
https://m.media-amazon.com/images/I/61WdVyw-3UL._AC_UL320_.jpg,Taste of the Wild TOW9054 Appalachian Valley Small Breed Canine Formula with Venison & Garbanzo Beans| 2kg,S$34.55,4.4 ,43
https://m.media-amazon.com/images/I/61ZFZQRvqnS._AC_UL320_.jpg,Cesar Dog Food Wet Food Chicken & Vegetables 100g (Pack of 24),S$34.80,5.0 ,4
https://m.media-amazon.com/images/I/812jF0QNTaL._AC_UL320_.jpg,Taste of the Wild TOW9058 Pine Forest Canine Formula with Venison & Legumes| 2kg,S$34.90,4.7 ,1'008
https://m.media-amazon.com/images/I/81yJyl9q9LL._AC_UL320_.jpg,Sheba Can Cat Food Wet Food Flaked Tuna In Gravy 85g (Carton of 24),,,
https://m.media-amazon.com/images/I/61ylhdZgl4L._AC_UL320_.jpg,Taste of the Wild Pacific Stream Canine Formula with Smoked Salmon| 2kg,S$35.90,5.0 ,3
https://m.media-amazon.com/images/I/81kfrMlvqcL._AC_UL320_.jpg,Sheba Can Cat Food Wet Food Succulent Chicken Breast 85g (Carton of 24),,,
https://m.media-amazon.com/images/I/71w8QBgijSL._AC_UL320_.jpg,Now Foods Sports| Sprouted Brown Rice Protein| Unflavored| 907g,S$40.41,3.9 ,252
https://m.media-amazon.com/images/I/51xqFpwQRFL._AC_UL320_.jpg,Food Box Set,S$63.64,4.7 ,12
https://m.media-amazon.com/images/I/81mdsRJHKZL._AC_UL320_.jpg,Pro Plan Small and Mini Adult Dog Food Salmon Formula For Sensitive Skin And Coat| 2.5 kg,,,
https://m.media-amazon.com/images/I/613T0CQNKfL._AC_UL320_.jpg,Stanley Vacuum Insulated Large Food Jar| 18/8 Stainless Steel Food Jar for Cold and Hot Food| Soup Thermos with Leak Proof Lid Doubles as Cup| Wide Mouth Food Thermos,S$56.55,4.7 ,1'290
https://m.media-amazon.com/images/I/61KriG+WSuL._AC_UL320_.jpg,Sheba Can Cat Food Wet Food Tuna with Prawn in Jelly 85g (Pack of 24),S$33.60,4.0 ,1
https://m.media-amazon.com/images/I/71pPDpzW6fL._AC_UL320_.jpg,Now Foods Egg White Protein| Creamy Vanilla| 680 Grams,S$42.09,4.2 ,180
https://m.media-amazon.com/images/I/714l-Bjk2ML._AC_UL320_.jpg,Now Foods Sports| Whey Protein Isolate| Natural Unflavored| 2.2kg,S$104.40,4.5 ,2'400
https://m.media-amazon.com/images/I/51LbxYYy+sL._AC_UL320_.jpg,Cesar Dog Food Wet Food Whitefish with Vegetables 100g (Pack of 24),S$34.80,4.0 ,84
https://m.media-amazon.com/images/I/81KUc0fgjIL._AC_UL320_.jpg,Augason Farms Dehydrated Apple Slices Certified Gluten Free Long Term Food Storage Large No. 10 Can,S$28.23,4.6 ,1'045
https://m.media-amazon.com/images/I/81PnMLwVVSL._AC_UL320_.jpg,Sheba Can Cat Food Wet Food Tuna Fillet in Jelly 85g (Carton of 24),,,
https://m.media-amazon.com/images/I/71bcl3mgPVS._AC_UL320_.jpg,The Food of Singapore Malays: Gastronomic Travels Through the Archipelago,,,
https://m.media-amazon.com/images/I/A12zN12xxsL._AC_UL320_.jpg,Korean American: Food That Tastes Like Home,S$40.46,4.6 ,60
https://m.media-amazon.com/images/I/91a8I2CEO+L._AC_UL320_.jpg,Gastro Obscura: A Food Adventurer's Guide,S$53.89,4.7 ,561
https://m.media-amazon.com/images/I/81-9aGHyuJL._AC_UL320_.jpg,Food Network Magazine: The Big| Fun Kids Baking Book - NEW YORK TIMES BESTSELLER: 110+ Recipes for Young Bakers: 2,S$35.08,4.7 ,342
