product_url, image_url, item_name, item_price, average_rating (Max Score is 5), number_of_ratings 
https://www.amazon.sg/Xiaomi-AMOLED-Smartphone-256GB-Peach/dp/B09JX8HW1G/ref=sr_1_5?keywords=smartphones&qid=1651045009&sr=8-5,https://m.media-amazon.com/images/I/51w2NNV4PEL._AC_UL320_.jpg,Xiaomi 11 Lite 5G NE AMOLED Smartphone| 8GB RAM + 256GB ROM (Peach Pink),499.00,4.7 ,62
https://www.amazon.sg/Xiaomi-5G-NE-Smartphone-Bubblegum/dp/B09JX6QMR6/ref=sr_1_6?keywords=smartphones&qid=1651045009&sr=8-6,https://m.media-amazon.com/images/I/616O4heTezL._AC_UL320_.jpg,Xiaomi 11 Lite 5G NE AMOLED Smartphone| 8GB RAM + 256GB ROM (Bubblegum Blue),549.00,4.7 ,50
https://www.amazon.sg/Multi-Angle-Smartphones-Multi-Jointed-Communication-Presentations/dp/B08JPZ94Y8/ref=sr_1_7?keywords=smartphones&qid=1651045009&sr=8-7,https://m.media-amazon.com/images/I/51w5huPDGqL._AC_UL320_.jpg,IPEVO Uplift Multi-Angle Arm for Smartphones| Multi-Jointed Phone Holder for Visual Communication and Presentations| Small Footprint Smartphone Stand for Remote Work and Distance Learning.,88.21,4.4 ,69
https://www.amazon.sg/Xiaomi-HXM-9A-32-GRY-EU-Smartphone-Display-Granite/dp/B08CGXVPXW/ref=sr_1_8?keywords=smartphones&qid=1651045009&sr=8-8,https://m.media-amazon.com/images/I/81oPj2JzHDL._AC_UL320_.jpg,Xiaomi HXM-9A-32-GRY-EU Redmi 9A Dual Sim Smartphone| 6.53" LCD Display| 2GB RAM| 32GB ROM| Granite Gray,139.00,4.5 ,1'954
https://www.amazon.sg/mophie-snap-Adapter-Compatibility-Smartphone/dp/B096W7MLGN/ref=sr_1_9?keywords=smartphones&qid=1651045009&sr=8-9,https://m.media-amazon.com/images/I/51KrjPYDOAS._AC_UL320_.jpg,mophie Snap Adapter| Compatible with MagSafe| Qi-Enabled Devices & Snap/Snap+ Wireless Accessories| Includes 2 Metallic Rings for Versatile Magnetic Mounting| Works with Android| Apple| Google Phones,36.31,4.0 ,196
https://www.amazon.sg/OnePlus-Unlocked-Android-Smartphone-Charging/dp/B07XWGWPH5/ref=sr_1_10?keywords=smartphones&qid=1651045009&sr=8-10,https://m.media-amazon.com/images/I/71DCZOdq92S._AC_UL320_.jpg,OnePlus Nord N200 | 5G Unlocked Android Smartphone U.S Version | 6.49" Full HD+LCD Screen | 90Hz Smooth Display | Large 5000mAh Battery | Fast Charging | 64GB Storage | Triple Camera|Blue Quantum,339.47,4.1 ,500
https://www.amazon.sg/Xiaomi-Redmi-Note-11-Smartphone/dp/B09QSB4N2C/ref=sr_1_11?keywords=smartphones&qid=1651045009&sr=8-11,https://m.media-amazon.com/images/I/51e3KdrHuCL._AC_UL320_.jpg,Xiaomi Redmi Note 11 Smartphone (6GB RAM| 128GB) - Graphite Gray,259.00,4.6 ,111
https://www.amazon.sg/UMIDIGI-A11-Pro-Max-Smartphone/dp/B09FDL9P4C/ref=sr_1_12?keywords=smartphones&qid=1651045009&sr=8-12,https://m.media-amazon.com/images/I/61D7FRHHKlL._AC_UL320_.jpg,UMIDIGI A11 Pro Max Unlocked Cell Phone| with Sony Camera| 6.8" FHD Full View Screen| 5150mAh Battery Android 11 Smartphone with Dual SIM (4G LTE) (A11 Pro Max 8+128G| Mist Blue),399.00,3.8 ,155
https://www.amazon.sg/Xiaomi-HXM-9A-32-GRN-EU-Smartphone-Display-Peacock/dp/B08CH6PPX3/ref=sr_1_13?keywords=smartphones&qid=1651045009&sr=8-13,https://m.media-amazon.com/images/I/51i8vTlJ8GL._AC_UL320_.jpg,Xiaomi HXM-9A-32-GRN-EU Redmi 9A Dual Sim Smartphone| 6.53" LCD Display| 2GB RAM| 32GB ROM| Peacock Green,139.00,4.5 ,708
https://www.amazon.sg/Samsung-Galaxy-Smartphone-SM-S901E-DS/dp/B09RSJ951W/ref=sr_1_14?keywords=smartphones&qid=1651045009&sr=8-14,https://m.media-amazon.com/images/I/71Ig9GDPl1L._AC_UL320_.jpg,Samsung Galaxy S22 5G Smartphone SM-S901E/DS| 8GB RAM| 256GB ROM| Green,1'078.00,4.4 ,21
https://www.amazon.sg/Samsung-Galaxy-Smartphone-SM-S906E-DS/dp/B09RSQ24LQ/ref=sr_1_15?keywords=smartphones&qid=1651045009&sr=8-15,https://m.media-amazon.com/images/I/818EWKOQmaL._AC_UL320_.jpg,Samsung Galaxy S22+ 5G Smartphone SM-S906E/DS| 8GB RAM| 256GB ROM| Black,1'568.00,4.4 ,21
https://www.amazon.sg/Apple-iPhone-Smartphone-Display-256GB/dp/B08LQM39CF/ref=sr_1_16?keywords=smartphones&qid=1651045009&sr=8-16,https://m.media-amazon.com/images/I/61wnt4E0mQS._AC_UL320_.jpg,Apple iPhone 12 Pro Smartphone| 6.1" Display| 6GB RAM| 256GB ROM| iOS 14| Gold,,,
https://www.amazon.sg/Samsung-Galaxy-Smartphone-SM-S908E-DS/dp/B09RSV52W3/ref=sr_1_17?keywords=smartphones&qid=1651045009&sr=8-17,https://m.media-amazon.com/images/I/81Q3UEJouWL._AC_UL320_.jpg,Samsung Galaxy S22 Ultra 5G Smartphone SM-S908E/DS| 12GB RAM| 256GB ROM| Green,1'489.00,4.4 ,21
https://www.amazon.sg/Samsung-Smartphone-SM-S908E-DS-Burgundy/dp/B09RSPLPW6/ref=sr_1_18?keywords=smartphones&qid=1651045009&sr=8-18,https://m.media-amazon.com/images/I/812DDJ278nL._AC_UL320_.jpg,Samsung Galaxy S22 Ultra 5G Smartphone SM-S908E/DS| 12GB RAM| 512GB ROM| Burgundy,1'820.00,4.4 ,21
https://www.amazon.sg/ONEPLUS-Smartphone-Display-Storage-OxygenOS/dp/B08GK1Q26J/ref=sr_1_19?keywords=smartphones&qid=1651045009&sr=8-19,https://m.media-amazon.com/images/I/41pLvsfWvcL._AC_UL320_.jpg,ONEPLUS Nord AC2003 Dual SIM Smartphone| 6.44" 90Hz Fluid AMOLED Display| 12GB RAM| 256GB Storage| OxygenOS Based on Android 10| Marble Blue,,,
https://www.amazon.sg/HXM-9A-32-BLU-EU-Redmi-9A-Smartphone-Display/dp/B08CH6X6M5/ref=sr_1_20?keywords=smartphones&qid=1651045009&sr=8-20,https://m.media-amazon.com/images/I/51bseWUDNOL._AC_UL320_.jpg,Xiaomi HXM-9A-32-BLU-EU Redmi 9A Dual Sim Smartphone| 6.53" LCD Display| 2GB RAM| 32GB ROM| Sky Blue,138.00,4.6 ,1'908
https://www.amazon.sg/Level-Lock-Smart-Smartphone-Bluetooth/dp/B0886L1VXH/ref=sr_1_25?keywords=smartphones&qid=1651045009&sr=8-25,https://m.media-amazon.com/images/I/71Y5r8ayD1L._AC_UL320_.jpg,Level Lock Smart Lock - Touch Edition| Keyless Entry Using Touch| a Key Card| or Smartphone. Bluetooth Enabled| Works with Ring and Apple HomeKit - Satin Chrome,494.90,3.8 ,242
https://www.amazon.sg/Samsung-Smartphone-SM-A536EZOHXSP-256GB-Peach/dp/B09VP9VL71/ref=sr_1_26?keywords=smartphones&qid=1651045009&sr=8-26,https://m.media-amazon.com/images/I/816xGeKghbL._AC_UL320_.jpg,Samsung A53 5G Smartphone SM-A536EZOHXSP| 8GB RAM| 256GB| Peach,615.00,3.7 ,3
https://www.amazon.sg/Seek-Thermal-CompactPRO-Resolution-MicroUSB/dp/B01LXM0BSH/ref=sr_1_27?keywords=smartphones&qid=1651045009&sr=8-27,https://m.media-amazon.com/images/I/610M4GnJnpL._AC_UL320_.jpg,Seek Thermal CompactPRO – High Resolution Thermal Imaging Camera for Android MicroUSB,539.53,4.0 ,73
https://www.amazon.sg/ONEPLUS-AC2001-Nord-Smartphone-128GB/dp/B08695ZSP6/ref=sr_1_28?keywords=smartphones&qid=1651045009&sr=8-28,https://m.media-amazon.com/images/I/71gag816F7L._AC_UL320_.jpg,ONEPLUS AC2001 Nord Dual SIM Smartphone| 8GB RAM| 128GB ROM| Grey Onyx,649.00,4.4 ,18'159
https://www.amazon.sg/ULTRALOQ-U-Bolt-Pro-Smartphone-Fingerprint/dp/B07Y8Y3B7J/ref=sr_1_29?keywords=smartphones&qid=1651045009&sr=8-29,https://m.media-amazon.com/images/I/61yGox05lJL._AC_UL320_.jpg,ULTRALOQ U-Bolt Pro Bluetooth Enabled Keypad Smart 6-in-1 Keyless Entry | Smartphone App for iOS and Android | Fingerprint ID | Anti-peep Code | Auto Unlock & Auto Lock| Black,250.31,4.3 ,148
