product_url, image_url, item_name, item_price, average_rating (Max Score is 5), number_of_ratings 
https://www.amazon.sg/Maison-Grand-EspritLEtre-Magique-Provence/dp/B07DPSXHHW/ref=sr_1_5?keywords=food&qid=1651227710&sr=8-5,https://m.media-amazon.com/images/I/51NZ4ICOshL._AC_UL320_.jpg,Maison de Grand EspritL’Etre Magique Cotes de Provence 2016 French AOC Rose Goes well with Spicy Food Rose Wine| 750 ml,32.00,1.0 ,1
https://www.amazon.sg/Augason-Farms-Variety-Emergency-4-Gallon/dp/B00GDGGR4S/ref=sr_1_6?keywords=food&qid=1651227710&sr=8-6,https://m.media-amazon.com/images/I/81KvC0Ks0NL._AC_UL320_.jpg,Augason Farms Lunch and Dinner Variety Pail Emergency Food Supply 4-Gallon Pail,136.46,4.7 ,5'955
https://www.amazon.sg/Augason-Farms-Breakfast-Emergency-Supply/dp/B00K5Y6OJM/ref=sr_1_7?keywords=food&qid=1651227710&sr=8-7,https://m.media-amazon.com/images/I/8137Htr30wL._AC_UL320_.jpg,Augason Farms Breakfast Emergency Food Supply 11 lbs 1.8 oz 4 Gallon Pail,111.74,4.7 ,1'333
https://www.amazon.sg/Katadyn-NRG-5-Emergency-Food-Ration/dp/B099SD7LM3/ref=sr_1_8?keywords=food&qid=1651227710&sr=8-8,https://m.media-amazon.com/images/I/71RFc6enDnL._AC_UL320_.jpg,Katadyn NRG-5 Emergency Food Ration| tan,16.30,4.2 ,192
https://www.amazon.sg/Food-recipes-pegan-gluten-free-dairy-free-more/dp/0316453137/ref=sr_1_9?keywords=food&qid=1651227710&sr=8-9,https://m.media-amazon.com/images/I/917m+heMj5L._AC_UL320_.jpg,Food: What the Heck Should I Cook?: More than 100 delicious recipes--pegan| vegan| paleo| gluten-free| dairy-free| and more--for lifelong health,45.53,4.5 ,1'715
https://www.amazon.sg/Nutrition-Foodservice-Culinary-Professionals-Drummond/dp/1119777194/ref=sr_1_10?keywords=food&qid=1651227710&sr=8-10,https://m.media-amazon.com/images/I/51UYYNIavbL._AC_UL320_.jpg,Nutrition for Foodservice and Culinary Professionals,,,
https://www.amazon.sg/RSVP-International-Collection-Stainless-Steel/dp/B0000CFH1K/ref=sr_1_11?keywords=food&qid=1651227710&sr=8-11,https://m.media-amazon.com/images/I/71kZRJ1zf5S._AC_UL320_.jpg,RSVP International Hand Wash Food Mill Collection| Stainless Steel,81.44,4.4 ,476
https://www.amazon.sg/Ninja-Professional-Food-Processor-BN650/dp/B08VF6QWXK/ref=sr_1_12?keywords=food&qid=1651227710&sr=8-12,https://m.media-amazon.com/images/I/71AYluTQ-XL._AC_UL320_.jpg,Ninja Professional Food Processor| Grey| BN650,178.00,5.0 ,3
https://www.amazon.sg/Skip-Hop-Formula-Food-Containers/dp/B07XYM45ZQ/ref=sr_1_13?keywords=food&qid=1651227710&sr=8-13,https://m.media-amazon.com/images/I/61caXtpbqUL._AC_UL320_.jpg,Skip Hop Baby Fresh Feeding: Easy-Store 4 Oz. Containers,19.47,4.8 ,2'036
https://www.amazon.sg/INSTINCT-Limited-Ingredient-Diet-Lamb/dp/B06XDP6MNH/ref=sr_1_14?keywords=food&qid=1651227710&sr=8-14,https://m.media-amazon.com/images/I/619pqVv6nCL._AC_UL320_.jpg,INSTINCT Limited Ingredient Diet Lamb Dry Dog Food| 4 lb. Bag,50.11,4.7 ,1'295
https://www.amazon.sg/OXO-Baby-Food-Masher-Teal/dp/B079K196L4/ref=sr_1_15?keywords=food&qid=1651227710&sr=8-15,https://m.media-amazon.com/images/I/71ca5T7zVbL._AC_UL320_.jpg,OXO TOT Baby Food Masher| Teal|,22.41,4.7 ,1'107
https://www.amazon.sg/NutraGold-NGH2374-Turkey-Potato-2-25kg/dp/B0772ZLRR9/ref=sr_1_16?keywords=food&qid=1651227710&sr=8-16,https://m.media-amazon.com/images/I/815TMrP1z-L._AC_UL320_.jpg,NutraGold NGH2374 Grain Free Turkey & Sweet Potato Dog| 2.25kg,,,
https://www.amazon.sg/OXO-Mash-Maker-Baby-Food/dp/B079K2NRFW/ref=sr_1_17?keywords=food&qid=1651227710&sr=8-17,https://m.media-amazon.com/images/I/71hZ7bwmb2L._AC_UL320_.jpg,OXO Tot Mash Maker Baby Food Mill| Teal,47.25,4.2 ,344
https://www.amazon.sg/Sage-Spoonfuls-Squeezie-Reusable-Pouches/dp/B09B2SRZXB/ref=sr_1_18?keywords=food&qid=1651227710&sr=8-18,https://m.media-amazon.com/images/I/51iiKTEri-L._AC_UL320_.jpg,Sage Spoonfuls Squeezie Reusable Baby Food Pouches - 6-Pack 7-Ounce Capacity - Chevron - Leakproof| Easy-to-Fill| Freezer & Dishwasher Safe,25.49,4.3 ,51
https://www.amazon.sg/Philips-Avent-SCF883-02-HEALTHY/dp/B07WXKFDMY/ref=sr_1_19?keywords=food&qid=1651227710&sr=8-19,https://m.media-amazon.com/images/I/51WMDejPBpL._AC_UL320_.jpg,Philips Avent SCF883/02 4-IN-1 HEALTHY baby food maker,189.00,3.9 ,200
https://www.amazon.sg/Now-Foods-Whole-Brazil-Unsalted/dp/B000ZL1WQU/ref=sr_1_20?keywords=food&qid=1651227710&sr=8-20,https://m.media-amazon.com/images/I/71ti6i0YDCL._AC_UL320_.jpg,Now Foods Real Food| Whole| Raw Brazil Nuts| Unsalted| 340g,18.90,4.5 ,340
https://www.amazon.sg/Now-Foods-Pumpkin-Seeds-Unsalted/dp/B001395NZ4/ref=sr_1_25?keywords=food&qid=1651227710&sr=8-25,https://m.media-amazon.com/images/I/81gy80--ThL._AC_UL320_.jpg,Now Foods Raw Pumpkin Seeds| Unsalted| 454g,,,
https://www.amazon.sg/Now-Foods-Sprouted-Protein-Unflavored/dp/B00I054PPS/ref=sr_1_26?keywords=food&qid=1651227710&sr=8-26,https://m.media-amazon.com/images/I/71w8QBgijSL._AC_UL320_.jpg,Now Foods Sports| Sprouted Brown Rice Protein| Unflavored| 907g,40.41,3.9 ,252
https://www.amazon.sg/Now-Foods-Erythritol-Natural-Sweetener/dp/B007XA49BG/ref=sr_1_27?keywords=food&qid=1651227710&sr=8-27,https://m.media-amazon.com/images/I/71Yqc7eGHzL._AC_UL320_.jpg,Now Foods Erythritol Natural Sweetener| 1134g,29.90,4.6 ,3'888
https://www.amazon.sg/Now-Foods-Essential-Oils-Lemongrass/dp/B00RPGQPYW/ref=sr_1_28?keywords=food&qid=1651227710&sr=8-28,https://m.media-amazon.com/images/I/61OaTBIXuUL._AC_UL320_.jpg,Now Foods Essential Oils| Lemongrass| 4 fl oz (118 ml),25.90,4.7 ,2'092
https://www.amazon.sg/Now-Foods-Xanthan-Gum-170g/dp/B0014UH7J2/ref=sr_1_29?keywords=food&qid=1651227710&sr=8-29,https://m.media-amazon.com/images/I/71VWRfkRDNL._AC_UL320_.jpg,Now Foods Xanthan Gum| 170g,,,
https://www.amazon.sg/Now-Foods-Psyllium-Husk-Powder/dp/B002RWUNYM/ref=sr_1_30?keywords=food&qid=1651227710&sr=8-30,https://m.media-amazon.com/images/I/61-B2IkXGDL._AC_UL320_.jpg,Now Foods Psyllium Husk Powder| 680g,18.59,4.5 ,13'466
https://www.amazon.sg/Now-Foods-Xylitol-1134g/dp/B014FF6QF8/ref=sr_1_31?keywords=food&qid=1651227710&sr=8-31,https://m.media-amazon.com/images/I/61g0rA31AxL._AC_UL320_.jpg,Now Foods Xylitol| 1134g,30.90,5.0 ,1
https://www.amazon.sg/Taste-Wild-Pacific-Stream-Canine-Formula/dp/B019RIYLJQ/ref=sr_1_32?keywords=food&qid=1651227710&sr=8-32,https://m.media-amazon.com/images/I/61ylhdZgl4L._AC_UL320_.jpg,Taste of the Wild Pacific Stream Canine Formula with Smoked Salmon| 2kg,35.90,5.0 ,3
https://www.amazon.sg/Shermays-Singapore-Fine-Food-Keropok/dp/B08SLSNW65/ref=sr_1_33?keywords=food&qid=1651227710&sr=8-33,https://m.media-amazon.com/images/I/71FhCQRIbvL._AC_UL320_.jpg,Shermay's Singapore Fine Food Keropok Pumpkin Lentil 150g,12.00,5.0 ,3
https://www.amazon.sg/Stella-Chewys-Chicken-Perfectly-PPFD-CS-14/dp/B07CQVVLYG/ref=sr_1_34?keywords=food&qid=1651227710&sr=8-34,https://m.media-amazon.com/images/I/61ch0TXEhpL._AC_UL320_.jpg,Stella & Chewy's Chicken & Salmon Perfectly Puppy Freeze Dried Dinner Patties 14oz|PPFD-CS-14,52.00,4.6 ,8'422
https://www.amazon.sg/Cesar-Food-Chicken-Vegetables-100g/dp/B07P7LMJLC/ref=sr_1_35?keywords=food&qid=1651227710&sr=8-35,https://m.media-amazon.com/images/I/61ZFZQRvqnS._AC_UL320_.jpg,Cesar Dog Food Wet Food Chicken & Vegetables 100g (Pack of 24),34.80,5.0 ,4
https://www.amazon.sg/Food-Singapore-Malays-Gastronomic-Archipelago/dp/9814841927/ref=sr_1_36?keywords=food&qid=1651227710&sr=8-36,https://m.media-amazon.com/images/I/71bcl3mgPVS._AC_UL320_.jpg,The Food of Singapore Malays: Gastronomic Travels Through the Archipelago,,,
https://www.amazon.sg/Sheba-Food-Flaked-Gravy-Carton/dp/B00UY8036Y/ref=sr_1_37?keywords=food&qid=1651227710&sr=8-37,https://m.media-amazon.com/images/I/81yJyl9q9LL._AC_UL320_.jpg,Sheba Can Cat Food Wet Food Flaked Tuna In Gravy 85g (Carton of 24),,,
https://www.amazon.sg/Gastro-Obscura-Food-Adventurers-Guide/dp/1523502193/ref=sr_1_38?keywords=food&qid=1651227710&sr=8-38,https://m.media-amazon.com/images/I/91a8I2CEO+L._AC_UL320_.jpg,Gastro Obscura: A Food Adventurer's Guide,53.89,4.7 ,567
https://www.amazon.sg/Sheba-Succulent-Chicken-Breast-Carton/dp/B08P72TFK8/ref=sr_1_39?keywords=food&qid=1651227710&sr=8-39,https://m.media-amazon.com/images/I/81kfrMlvqcL._AC_UL320_.jpg,Sheba Can Cat Food Wet Food Succulent Chicken Breast 85g (Carton of 24),,,
