Image_Url, Item_Name, Username, Rating_Score (Max Score is 5), Review_Location, Review_Date 
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Sambit Pradhan,5,Singapore ,19-Mar-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,madhukar,4,Singapore ,11-Aug-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Yolandab,1,the United States ,24-Jun-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Darius waters,1,the United States ,25-Mar-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Theresa M,1,the United States ,30-Jun-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Mark ,3,the United States ,12-Apr-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Tony arrington,1,the United States ,28-Apr-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Kathleen McBrair,2,the United States ,1-Oct-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,I like to comment,5,the United States ,20-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Amazon Customer,5,the United States ,5-Feb-22
