Image_Url, Item_Name, Username, Rating_Score, Review_Description, Review_Date 
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Predrag,5.0 ,Excellent price' prompt communication' fast delivery. Three big pluses and nothing to complain about - not bad at all if you ask me. I recommend the seller. Thanks so much.,Reviewed in Singapore on 5 April 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Oscar F.,5.0 ,El celular me llegó antes de lo planeado en perfecto estado' en caja cerrada con sellos de Samsung' para mis necesidades esta perfecto' excelente servicio' recomiendo ampliamente a Karlitashop' ya que también me envío mi factura en tiempo y forma.,Reviewed in Mexico on 22 September 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Gerardo,5.0 ,Excelente' el equipo llego antes del tiempo esperado' de acuerdo a las especificaciones' con sus empaques con sellos originales. Volveria a comprar mis equipos con este vendedor y lo recomiendo ampliamente.,Reviewed in Mexico on 7 December 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Luis guzman,2.0 ,Muy mal el zoom'muy feas las fotos!!!!'una desilusion'para el precio!!!,Reviewed in Mexico on 11 January 2022
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Segam,4.0 ,I switched from Galaxy s10+ and bought this phone just to have two phone numbers. 5G isn't working but that's not a deal breaker for me.See below some important details:Model:  US version: SM-G988U1 (unlocked for GSM and CDMA)  International version: SM-G988B/DS (Supports only GSM)Hardware differences:  Processor:  US version:  Snapdragon  International version: Exynos  SIM Trays:  US version:  Single SIM tray  International version: Dual SIM tray + supports eSIM5G is not working for me with T-Mobile (SIM1)' and AT&T (SIM2). I still like this phone with 4G connectivity and 4G+' which is same as the 4G-LTE support.Here is why 5G isn't working in the USA on the international version...SM-G988B/DS' supported 5G bands  SA/NSA/Sub6 (n1' n3' n5' n7' n8' n28' n40' n77' n78)T-Mobile's 5G Bands:  n71 (600 MHz)  n41 (2.5 GHz)  n260 (39 GHz)AT&T's 5G Bands:  n260 39GHz mmWave  n5 850MHz  Low-band... I believe this frequency is not usedI'm giving 4-stars out of 5 because 5G isn't working.Sorry for the long post. Hope this helps some potential buyers in making a decision.,Reviewed in the United States on 13 April 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Louis C. Ettinger,2.0 ,Falsely advertised as 5G capable to work on at&t' T-mobile or any US carrier' it does not have any of the required  5G Bands in use in the US' it took me a while to figure it out' with hours on carrier tech support and store visits' finally gave up and returned the phone' unfortunately on the free return' with a $60 restocking fee' which wasn't clearly described either' beware.,Reviewed in the United States on 7 August 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Lina R,5.0 ,Firstly' Thanks to this seller! Very reliable and the delivery was faster than expected.Beautiful phone. Loved the new camera. I am a new Samsung user so having to purchase the charging dock and type C headphones separately was a bummer.,Reviewed in the United States on 7 April 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Erick Gomez,5.0 ,The cellphone is great' really fast' and its screen resolution is beautiful. I changed from a Galaxy S5 to this one' so the difference is just HUGE and evident. Highly recommended in spite of the price.,Reviewed in the United States on 13 May 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,David Gonzalez,1.0 ,Hi' this product is not what is stated on the description' it has no dual sim capability' it can have two sims in but cannot work simultaneously. Also contacted a Samsung specialist and told me the phone was not internationally unlocked only US unlocked phone. I would not recommend anyone buying this phone.,Reviewed in the United States on 18 November 2021
https://m.media-amazon.com/images/I/317GbJ7aQuL._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,Kathleen F. West,1.0 ,When I ordered this phone it had the number I was looking for and the 5g I was looking for. It was a Christmas gift. After Christmas when we went to T Mobile to change to the 5g network' we found out that this phone does not work on the US 5g network. There was absolutely NO WARNING telling us that information. When we printed out the label to send it back we saw someone else had posted the same experience. I was charged over $200 for a restocking fee which makes me angry as I feel this was falsely advertised and the other poster had only had to pay $60. This experience has made me feel very skeptical of what I see on Amazon and made me cautious and distrustful about dealing with them.,Reviewed in the United States on 14 January 2022
