Image_Url, Item_Name, Item_Price, Average_Rating, Number_Of_Ratings
https://m.media-amazon.com/images/I/61QvFYU1vfS._AC_UL320_.jpg,Becoming a Data Head: How to Think| Speak| and Understand Data Science| Statistics| and Machine Learning,S$33.97,4.7 ,29
https://m.media-amazon.com/images/I/61q1IqrlhyL._AC_UL320_.jpg,Ace the Data Science Interview: 201 Real Interview Questions Asked By FAANG| Tech Startups| & Wall Street,S$49.96,4.6 ,229
https://m.media-amazon.com/images/I/81SCVWF4A1L._AC_UL320_.jpg,Data Science from Scratch: First Principles with Python,S$48.29,4.5 ,375
https://m.media-amazon.com/images/I/91Yqv5wWuPL._AC_UL320_.jpg,Python Data Science Handbook: Essential Tools for Working with Data,S$39.25,4.5 ,439
https://m.media-amazon.com/images/I/81tyuOUHPNL._AC_UL320_.jpg,Data Science for Business: What You Need to Know about Data Mining and Data-Analytic Thinking,S$51.91,4.5 ,580
https://m.media-amazon.com/images/I/81jwM5Wq8zL._AC_UL320_.jpg,Data Smart: Using Data Science to Transform Information into Insight,S$46.52,4.5 ,217
https://m.media-amazon.com/images/I/81k33dFBLtS._AC_UL320_.jpg,Data Science on AWS: Implementing End-to-End| Continuous AI and Machine Learning Pipelines,S$50.48,4.4 ,42
https://m.media-amazon.com/images/I/81YPoJkJafS._AC_UL320_.jpg,R for Data Science: Import| Tidy| Transform| Visualize| and Model Data,S$55.70,4.7 ,981
https://m.media-amazon.com/images/I/81qw9uLMlNL._AC_UL320_.jpg,Data Mesh: Delivering Data-Driven Value at Scale,S$86.21,,
https://m.media-amazon.com/images/I/91m1qz7cHqL._AC_UL320_.jpg,Data Science at the Command Line: Obtain| Scrub| Explore| and Model Data with Unix Power Tools,S$53.66,4.1 ,4
https://m.media-amazon.com/images/I/51o1-zE+y3L._AC_UL320_.jpg,Product Analytics: Applied Data Science Techniques for Actionable Consumer Insights,S$53.66,,
https://m.media-amazon.com/images/I/61TxA9Et5aL._AC_UL320_.jpg,Machine Learning in Business: An Introduction to the World of Data Science,S$39.99,5.0 ,4
https://m.media-amazon.com/images/I/81cP2wg48dL._AC_UL320_.jpg,Statistical Foundations of Data Science,S$182.01,4.5 ,2
https://m.media-amazon.com/images/I/51emTP8OoBS._AC_UL320_.jpg,Computer Age Statistical Inference| Student Edition: Algorithms| Evidence| and Data Science: 6,S$51.99,4.6 ,3
https://m.media-amazon.com/images/I/510Chv7zSoL._AC_UL320_.jpg,Fraud Analytics Using Descriptive| Predictive| and Social Network Techniques: A Guide to Data Science for Fraud Detection,S$54.28,3.9 ,36
https://m.media-amazon.com/images/I/71E7pMR-SPL._AC_UL320_.jpg,Storytelling with Data: A Data Visualization Guide for Business Professionals,S$40.48,4.6 ,1'782
https://m.media-amazon.com/images/I/61oFWc-pfwL._AC_UL320_.jpg,Trader Construction Kit: Fundamental & Technical Analysis| Risk Management| Directional Trading| Spreads| Options| Quantitative Strategies| Execution| Position Management| Data Science & Programming,S$149.00,4.6 ,50
https://m.media-amazon.com/images/I/61neNbg2g5L._AC_UL320_.jpg,Machine Learning Algorithms: Popular algorithms for data science and machine learning| 2nd Edition,S$99.12,4.5 ,4
https://m.media-amazon.com/images/I/91Fk4bhoI9L._AC_UL320_.jpg,Data Science Programming All-in-One For Dummies,S$42.15,4.8 ,28
https://m.media-amazon.com/images/I/61f8enOTzwL._AC_UL320_.jpg,Data Science For Dummies,S$37.77,4.6 ,6
https://m.media-amazon.com/images/I/516nl0MWn9L._AC_UL320_.jpg,Business Data Science: Combining Machine Learning and Economics to Optimize| Automate| and Accelerate Business Decisions,S$45.37,4.4 ,95
https://m.media-amazon.com/images/I/81uJblAQ7bL._AC_UL320_.jpg,Driving Digital Transformation through Data and AI: A Practical Guide to Delivering Data Science and Machine Learning Products,S$53.46,5.0 ,2
https://m.media-amazon.com/images/I/61jbKkHWfVL._AC_UL320_.jpg,The The Python Workshop: Learn to code in Python and kickstart your career in software development or data science,S$57.47,4.5 ,125
https://m.media-amazon.com/images/I/41P4cxyGIHL._AC_UL320_.jpg,The Book of Why: The New Science of Cause and Effect,S$18.71,4.5 ,838
https://m.media-amazon.com/images/I/71ofO1yuNML._AC_UL320_.jpg,Data Visualisation: A Handbook for Data Driven Design,S$60.46,4.4 ,114
https://m.media-amazon.com/images/I/61245SvUfJL._AC_UL320_.jpg,Python for Data Science: 2 Books in 1: The Ultimate Step-By-Step Amateur's Exercise to Master Data Science| Machine Learning| and Analysis by Using Python. (Part 1 and 2),S$7.79,,
https://m.media-amazon.com/images/I/61UqmXc2LcL._AC_UL320_.jpg,Naked Statistics: Stripping the Dread from the Data,S$15.97,4.6 ,1'194
https://m.media-amazon.com/images/I/811venbt3TL._AC_UL320_.jpg,Data Science For Dummies,S$32.50,4.5 ,122
https://m.media-amazon.com/images/I/61hpSpM3BIL._AC_UL320_.jpg,Data Science: The Complete Guide To Data Science For Beginners,S$20.65,,
https://m.media-amazon.com/images/I/81DV9mvQsML._AC_UL320_.jpg,Doing Data Science,S$60.30,4.4 ,89
https://m.media-amazon.com/images/I/41kDT9HOB6L._AC_UL320_.jpg,Numsense! Data Science for the Layman: No Math Added,S$18.60,4.7 ,52
https://m.media-amazon.com/images/I/61VY+AICCNL._AC_UL320_.jpg,Data Strategy: How to Profit from a World of Big Data| Analytics and Artificial Intelligence,S$34.42,3.7 ,3
https://m.media-amazon.com/images/I/61TnHhFvrDL._AC_UL320_.jpg,Data Engineering with AWS: Learn how to design and build cloud-based data transformation pipelines using AWS,S$68.88,4.8 ,6
