Image_Url, Item_Name, Username, Rating_Score (Max Score is 5), Review_Location, Review_Date 
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Sam,1.0 ,Singapore ,15 February 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Amazon Customer,5.0 ,Singapore ,8 December 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,AO,5.0 ,Singapore ,2 April 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Adrian Rodrigues,5.0 ,India ,15 December 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Shashwathi,3.0 ,India ,10 January 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Sathiyaraj R,5.0 ,India ,18 December 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Sarthak Parashar,5.0 ,India ,14 March 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Amazon Customer,5.0 ,India ,14 January 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Prashant Patil,4.0 ,India ,7 November 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Aditya,5.0 ,India ,8 December 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Ganesh Kadam,3.0 ,India ,15 November 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Maggie Williamson,2.0 ,Canada ,4 January 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Amazon Customer,4.0 ,India ,7 February 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Bipash Das,5.0 ,India ,6 February 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Saurabh Verma,4.0 ,India ,4 December 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Manoj Kumar KM,4.0 ,India ,5 December 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Madhu K,4.0 ,India ,19 January 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Khushboo,5.0 ,India ,17 January 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Roberto Alejandro Mendoza Gallegos,5.0 ,Mexico ,30 November 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Jai,4.0 ,India ,26 November 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Notrogon,5.0 ,India ,25 January 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,MIN,1.0 ,India ,31 January 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Amazon Customer,4.0 ,India ,5 January 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Abhinav S.,4.0 ,India ,11 January 2022
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Sumanth B.R,2.0 ,India ,15 December 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Naveen,5.0 ,India ,13 December 2021
https://m.media-amazon.com/images/I/41sHexVm4NL._AC_US60_SCLZZZZZZZ__.jpg,Google Pixel 5A 5G 128GB 6GB RAM Factory Unlocked (GSM Only | No CDMA - not Compatible with Verizon/Sprint) Japanese Version - Black,Vibu Poongode,1.0 ,India ,20 February 2022
