Image_Url, Item_Name, Username, Rating_Score (Max Score is 5), Review_Date 
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Manu Black Panther,1.0 ,Italy on 15 July 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Luigi Guido,4.0 ,Italy on 6 April 2018
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),LLV,5.0 ,Germany on 4 November 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Francesco Boes,5.0 ,Italy on 16 January 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Thomas Freud,5.0 ,Germany on 10 September 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),eLLeGi,5.0 ,Italy on 22 January 2021
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),AG,1.0 ,Germany on 5 July 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Luigi,5.0 ,Italy on 9 July 2020
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),Davide Marra,4.0 ,Italy on 19 February 2017
https://m.media-amazon.com/images/I/31ryNRZHzuL._AC_US60_SCLZZZZZZZ__.jpg,Sabrent Lavalier/Lapel Clip-on Omnidirectional Condenser Microphone for iPhone & Android Smartphones or Any Other Mobile Device (AU-SMCR),loris,5.0 ,Italy on 23 May 2019
