product_url, image_url, item_name, item_price, average_rating (Max Score is 5), number_of_ratings 
https://www.amazon.sg/Samsung-Smartphone-SM-A536EZOGXSP-128GB-Peach/dp/B09VP989WT/ref=sr_1_5?keywords=samsung+smartphones&qid=1651396370&sr=8-5,https://m.media-amazon.com/images/I/816xGeKghbL._AC_UL320_.jpg,Samsung A53 5G Smartphone SM-A536EZOGXSP| 8GB RAM| 128GB| Peach,520.00,3.7 ,3
https://www.amazon.sg/Samsung-Smartphone-SM-S908E-DS-Burgundy/dp/B09RSQLYML/ref=sr_1_6?keywords=samsung+smartphones&qid=1651396370&sr=8-6,https://m.media-amazon.com/images/I/812DDJ278nL._AC_UL320_.jpg,Samsung Galaxy S22 Ultra 5G Smartphone SM-S908E/DS| 12GB RAM| 256GB ROM| Burgundy,1'508.00,4.4 ,21
https://www.amazon.sg/Samsung-Galaxy-Smartphone-SM-S908E-DS/dp/B09RSP75Q4/ref=sr_1_7?keywords=samsung+smartphones&qid=1651396370&sr=8-7,https://m.media-amazon.com/images/I/81eIvfvn-vL._AC_UL320_.jpg,Samsung Galaxy S22 Ultra 5G Smartphone SM-S908E/DS| 12GB RAM| 256GB ROM| Black,1'489.00,4.4 ,21
https://www.amazon.sg/Samsung-Galaxy-Smartphone-Mirror-Purple/dp/B08G1C9ZZ1/ref=sr_1_8?keywords=samsung+smartphones&qid=1651396370&sr=8-8,https://m.media-amazon.com/images/I/519tyo4B1YL._AC_UL320_.jpg,Samsung Galaxy Z Flip F700 Smartphone| 256GB| 8GB RAM| 6.7"| Mirror Purple,1'765.50,3.9 ,20
https://www.amazon.sg/Samsung-Smartphone-SM-S908E-DS-Burgundy/dp/B09RSPLPW6/ref=sr_1_9?keywords=samsung+smartphones&qid=1651396370&sr=8-9,https://m.media-amazon.com/images/I/812DDJ278nL._AC_UL320_.jpg,Samsung Galaxy S22 Ultra 5G Smartphone SM-S908E/DS| 12GB RAM| 512GB ROM| Burgundy,1'750.00,4.4 ,21
https://www.amazon.sg/Samsung-Smartphone-SM-A536EZKHXSP-256GB-Black/dp/B09VPCFJVT/ref=sr_1_10?keywords=samsung+smartphones&qid=1651396370&sr=8-10,https://m.media-amazon.com/images/I/819uC4RPY-L._AC_UL320_.jpg,Samsung A53 5G Smartphone SM-A536EZKHXSP| 8GB RAM| 256GB| Black,615.00,3.7 ,3
https://www.amazon.sg/Samsung-Electronics-Unlocked-Smartphone-Intelligent/dp/B09BFRV59N/ref=sr_1_11?keywords=samsung+smartphones&qid=1651396370&sr=8-11,https://m.media-amazon.com/images/I/61kLsk8RslL._AC_UL320_.jpg,Samsung Electronics Galaxy S21 FE 5G Cell Phone| Factory Unlocked Android Smartphone| 128GB| 120Hz Display| Pro Grade Camera| All Day Intelligent Battery| US Version| White,1'063.00,4.5 ,850
https://www.amazon.sg/SAMSUNG-SM-G991BZAGXSP-Smartphone-Android-Phantom/dp/B08T1FTYF2/ref=sr_1_12?keywords=samsung+smartphones&qid=1651396370&sr=8-12,https://m.media-amazon.com/images/I/81t+Gw2149L._AC_UL320_.jpg,SAMSUNG SM-G991BZAGXSP Galaxy S21 5G Smartphone| 6.2" AMOLED| 8GB RAM| 256GB ROM| Android 10 OS| Phantom Gray,1'248.00,4.2 ,4
https://www.amazon.sg/2-Pack-Anker-Powerline-Micro-USB/dp/B01MUJOA5E/ref=sr_1_13?keywords=samsung+smartphones&qid=1651396370&sr=8-13,https://m.media-amazon.com/images/I/51Xd5ioRZOL._AC_UL320_.jpg,[2-Pack] Anker Powerline Micro USB (6ft) - Durable Charging Cable| with Aramid Fiber and 5000+ Bend Lifespan for Samsung| Nexus| LG| Motorola| Android Smartphones and More (Black),38.48,4.6 ,3'979
https://www.amazon.sg/Samsung-Smartphone-SM-A536ELBGXSP-128GB-Blue/dp/B09VPCBG1D/ref=sr_1_14?keywords=samsung+smartphones&qid=1651396370&sr=8-14,https://m.media-amazon.com/images/I/81HcBYi3IFL._AC_UL320_.jpg,Samsung A53 5G Smartphone SM-A536ELBGXSP| 8GB RAM| 128GB| Blue,520.00,3.7 ,3
https://www.amazon.sg/Samsung-Smartphone-SM-A536EZOHXSP-256GB-Peach/dp/B09VP9VL71/ref=sr_1_15?keywords=samsung+smartphones&qid=1651396370&sr=8-15,https://m.media-amazon.com/images/I/816xGeKghbL._AC_UL320_.jpg,Samsung A53 5G Smartphone SM-A536EZOHXSP| 8GB RAM| 256GB| Peach,615.00,3.7 ,3
https://www.amazon.sg/Samsung-Smartphone-SM-A536EZKGXSP-128GB-Black/dp/B09VP9N3QP/ref=sr_1_16?keywords=samsung+smartphones&qid=1651396370&sr=8-16,https://m.media-amazon.com/images/I/819uC4RPY-L._AC_UL320_.jpg,Samsung A53 5G Smartphone SM-A536EZKGXSP| 8GB RAM| 128GB| Black,518.00,3.7 ,3
https://www.amazon.sg/SAMSUNG-SM-G996BZKGXSP-Smartphone-Android-Phantom/dp/B08T1F736B/ref=sr_1_17?keywords=samsung+smartphones&qid=1651396370&sr=8-17,https://m.media-amazon.com/images/I/81H6cL2Wp9L._AC_UL320_.jpg,SAMSUNG SM-G996BZKGXSP Galaxy S21+ 5G Smartphone| 6.7" AMOLED| 8GB RAM| 256GB ROM| Android 10 OS| Phantom Black,1'369.00,5.0 ,1
https://www.amazon.sg/Samsung-Smartphone-SM-A536EZWGXSP-128GB-White/dp/B09VPD2FP4/ref=sr_1_18?keywords=samsung+smartphones&qid=1651396370&sr=8-18,https://m.media-amazon.com/images/I/81ikLskZfJL._AC_UL320_.jpg,Samsung A53 5G Smartphone SM-A536EZWGXSP| 8GB RAM| 128GB| White,519.00,3.7 ,3
https://www.amazon.sg/Samsung-Smartphone-SM-A536ELBHXSP-256GB-Blue/dp/B09VPCT7LV/ref=sr_1_19?keywords=samsung+smartphones&qid=1651396370&sr=8-19,https://m.media-amazon.com/images/I/81HcBYi3IFL._AC_UL320_.jpg,Samsung A53 5G Smartphone SM-A536ELBHXSP | 8GB RAM| 256GB| Blue,618.00,3.7 ,3
https://www.amazon.sg/SAMSUNG-SM-G991BZVGXSP-Smartphone-Android-Phantom/dp/B08T19PKFB/ref=sr_1_20?keywords=samsung+smartphones&qid=1651396370&sr=8-20,https://m.media-amazon.com/images/I/81RVkgNJ8SL._AC_UL320_.jpg,SAMSUNG SM-G991BZVGXSP Galaxy S21 5G Smartphone| 6.2" AMOLED| 8GB RAM| 256GB ROM| Android 10 OS| Phantom Violet,899.00,4.0 ,1
https://www.amazon.sg/SAMSUNG-SM-G991BZIGXSP-Smartphone-Android-Phantom/dp/B08T1T435K/ref=sr_1_25?keywords=samsung+smartphones&qid=1651396370&sr=8-25,https://m.media-amazon.com/images/I/81p+WR4Wg7L._AC_UL320_.jpg,SAMSUNG SM-G991BZIGXSP Galaxy S21 5G Smartphone| 6.2" AMOLED| 8GB RAM| 256GB ROM| Android 10 OS| Phantom Pink,899.00,3.0 ,2
https://www.amazon.sg/SAMSUNG-EP-TA800NBEGGB-Travel-Adapter-Black/dp/B08R1JKKM5/ref=sr_1_26?keywords=samsung+smartphones&qid=1651396370&sr=8-26,https://m.media-amazon.com/images/I/61XlDaL0ccL._AC_UL320_.jpg,SAMSUNG EP-TA800NBEGGB 25W PD Travel Adapter| Black,23.50,4.5 ,1'448
https://www.amazon.sg/Lopnord-Tablet-Holder-Compatible-Samsung/dp/B09J4MJTTK/ref=sr_1_27?keywords=samsung+smartphones&qid=1651396370&sr=8-27,https://m.media-amazon.com/images/I/51Z4BjgbKcL._AC_UL320_.jpg,Lopnord Car Phone Tablet Mount CD Slot Holder Compatible with Samsung Galaxy Z Fold 3/S21/S10/iPad Mini 6 8.3 inch 2021| 2 in 1 Tablet Holder for Car for iPhone 13 12 Pro Max Mini 7-11 inch Tablet,32.05,4.1 ,65
https://www.amazon.sg/Samsung-Factory-Unlocked-Smartphone-Pro-Grade/dp/B08FYTSXGQ/ref=sr_1_28?keywords=samsung+smartphones&qid=1651396370&sr=8-28,https://m.media-amazon.com/images/I/71RxOftVoQL._AC_UL320_.jpg,Samsung Galaxy S20 FE 5G | Factory Unlocked Android Cell Phone | 128 GB | US Version Smartphone | Pro-Grade Camera| 30X Space Zoom| Night Mode | Cloud Navy,884.14,4.5 ,6'519
https://www.amazon.sg/iOttie-HLCRIO138-Wireless-Magnetic-Charging/dp/B07PV42CGH/ref=sr_1_29?keywords=samsung+smartphones&qid=1651396370&sr=8-29,https://m.media-amazon.com/images/I/61vIQLb1N5L._AC_UL320_.jpg,iOttie HLCRIO138 iTap 2 Wireless Magnetic Charging Air Vent Mount,59.44,4.0 ,1'077
https://www.amazon.sg/Samsung-Smartphone-Octa-Core-Display-Android/dp/B0857VLQGQ/ref=sr_1_30?keywords=samsung+smartphones&qid=1651396370&sr=8-30,https://m.media-amazon.com/images/I/51BOH3d2bCL._AC_UL320_.jpg,Samsung Galaxy S20 Ultra 5G Smartphone| 64-bit Octa-Core| 8 GB| 128 GB ROM| 6.9" Display| Android 10| Cosmic Grey,1'699.00,3.6 ,6
https://www.amazon.sg/Macally-Windshield-Adjustable-Suction-Smartphones/dp/B0083T3CBE/ref=sr_1_31?keywords=samsung+smartphones&qid=1651396370&sr=8-31,https://m.media-amazon.com/images/I/81cez6RPbBL._AC_UL320_.jpg,Macally Windshield Phone Mount| Adjustable Suction Cup Window Mount Phone Holder for iPhone XS XS Max XR X 8 Plus 7+ 6s 6 Plus SE Samsung Galaxy Note9 S9 S9+ S8 Note 5 Nexus Xperia Moto Smartphones,21.57,3.7 ,91
https://www.amazon.sg/SAMSUNG-SM-G998BZKGXSP-Smartphone-Android-Phantom/dp/B08T1TDFVX/ref=sr_1_32?keywords=samsung+smartphones&qid=1651396370&sr=8-32,https://m.media-amazon.com/images/I/811KA14ReNL._AC_UL320_.jpg,SAMSUNG SM-G998BZKGXSP Galaxy S21 Ultra 5G Smartphone| 6.8" AMOLED| 12GB RAM| 256GB ROM| Android 10 OS| Phantom Black,2'089.00,4.3 ,91
https://www.amazon.sg/iOttie-Easy-One-Touch-Smartphones/dp/B088GJBLLY/ref=sr_1_33?keywords=samsung+smartphones&qid=1651396370&sr=8-33,https://m.media-amazon.com/images/I/614P+n1E9uL._AC_UL320_.jpg,iOttie Easy One Touch 5 CD Slot Universal Car Mount Phone Holder for iPhone| Samsung| Moto| Huawei| Nokia| LG| Smartphones,36.04,4.4 ,18'011
