Image_Url, Item_Name, Item_Price, Average_Rating, Number_Review
https://m.media-amazon.com/images/I/51fs+MplsrL._AC_UL320_.jpg,Huawei HW-CDY-NX9B Nova 7 SE Dual Sim Smartphone| 6.5" LCD Display| 8GB RAM| 128GB ROM| Green,S$528.00,,
https://m.media-amazon.com/images/I/41E-qJAVDYL._AC_UL320_.jpg,Huawei HW-MED-LX9 Y6P Dual Sim Smartphone| 6.3" LCD Display| 4GB RAM| 64GB ROM| Purple,S$188.00,3.5 ,2
https://m.media-amazon.com/images/I/415majnHZkL._AC_UL320_.jpg,Huawei HW-MED-LX9 Y6P Dual Sim Smartphone| 6.3" LCD Display| 4GB RAM| 64GB ROM| Black,S$188.00,3.5 ,2
https://m.media-amazon.com/images/I/6157zLB4+dL._AC_UL320_.jpg,RENPHO Body Fat Scale Smart BMI Scale Digital Bathroom Wireless Weight Scale| Body Composition Analyzer with Smartphone App sync with Bluetooth| 396 lbs - Black,S$42.99,4.7 ,167'298
https://m.media-amazon.com/images/I/61ckcUKOM3L._AC_UL320_.jpg,Anker Powerline II 3-in-1 Cable| Lightning/Type C/Micro USB Cable for iPhone| iPad| Huawei| HTC| LG| Samsung Galaxy| Sony Xperia| Android Smartphones| and More(3ft| White),S$42.10,4.4 ,8'600
https://m.media-amazon.com/images/I/51pUKJVqTdL._AC_UL320_.jpg,2-Pack Genuine 5A USB 3.1 Type C Superfast Charging Data Cable for Android Smartphone for Huawei P40/P40 Pro/P30/MATE 30|Samsung Galaxy S20/S20+/S10 and More,S$14.56,,
https://m.media-amazon.com/images/I/81XC9wc1ZgL._AC_UL320_.jpg,AAOTOKK 3 Ft Flat Micro USB Charger Cable Nylon-Braided USB 2.0 A Male to Micro USB Male Fast Sync & Charging Cable Compatible with Samsung|Huawei|Android Smartphone|MP3|Tablet and More(Black/3-Pack),S$13.54,5.0 ,2
https://m.media-amazon.com/images/I/71FoxSQjFQL._AC_UL320_.jpg,6-in-1 Multi Charging Cable (3.3FT/1M) Fast Charging & Data Sync Phone/Type C/Micro USB Cable Froggen Nylon Braided Cable Compatible with Phone| Pad| Pod| Galaxy| Huawei| HTC| LG| Android Smartphones,S$25.06,4.2 ,61
https://m.media-amazon.com/images/I/81PSf++raSL._AC_UL320_.jpg,AAOTOKK (1m/3ft) 90 Degree Micro USB Cable Right Angle USB 2.0 A Male to Micro Male Fast Sync & Charging Cable for Android| Samsung| LG|Huawei| Smartphones & More(Red/3-Pack),S$15.96,4.3 ,235
https://m.media-amazon.com/images/I/51oTDjLzfyL._AC_UL320_.jpg,Puccy 3 Pack Screen Protector Film| compatible with HUAWEI P50 Pro Smartphone TPU Guard （ Not Tempered Glass Protectors Case Cover）,S$12.99,,
