Image_Url,Item_Name,Username,Rating_Score,Review_Location,Review_Date
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Sambit Pradhan,5,Singapore ,19-Mar-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,madhukar,4,Singapore ,11-Aug-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Yolandab,1,the United States ,24-Jun-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Darius waters,1,the United States ,25-Mar-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Theresa M,1,the United States ,30-Jun-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Mark ,3,the United States ,12-Apr-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Tony arrington,1,the United States ,28-Apr-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Kathleen McBrair,2,the United States ,1-Oct-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,I like to comment,5,the United States ,20-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Amazon Customer,5,the United States ,5-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Kindle Customer,1,the United States ,24-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Sophia92,5,the United States ,2-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Isma,5,the United States ,8-Apr-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Scott Button,4,the United States ,28-Mar-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,John,1,the United States ,16-Nov-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,R.E,2,the United States ,20-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Garry,1,the United States ,29-Nov-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Conrad P.,1,the United States ,25-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Amazon Customer,5,the United States ,3-Apr-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Marie,1,the United States ,3-Dec-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,shey love,5,the United States ,1-Jan-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Rick S (Wisconsin),3,the United States ,1-Mar-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Cesar D.,4,the United States ,29-Mar-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Malcolm C.,5,the United States ,8-Sep-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Gildo Ferras,5,the United States ,19-Jan-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,jose luis hernandez,1,the United States ,3-Mar-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Gamerdood,1,the United States ,10-Nov-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Mauro,1,the United States ,20-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Amazon Customer,1,the United States ,6-Mar-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,D. Caribeña,3,the United States ,31-Aug-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,APU MAZUMDER,1,the United States ,2-Oct-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Seid Muhumed,1,the United States ,8-Mar-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Izak K.,3,the United States ,9-Apr-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,sean mccartney,1,the United States ,27-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Amazon Customer,4,the United States ,14-Mar-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Lori Elizabeth-Jeanne Keffer,5,the United States ,25-Feb-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Jacques F.,1,the United States ,29-Apr-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Amazon Customer,1,the United States ,24-Aug-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Uncle Drew,3,the United States ,14-Dec-21
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Chet,5,the United States ,17-Jan-22
https://m.media-amazon.com/images/I/31XThr46I6L._AC_US60_SCLZZZZZZZ__.jpg,SAMSUNG SM-A125FZKHXSP Galaxy A12| Black| 128GB,Ernesto Diaz Crespo,5,the United States ,20-Feb-22
